やあ。俺？「睡眠不足」でな。ふあぁ……,超元気,課長,睡眠不足,会社
大丈夫なもんかよ。毎日「残業」でさ、嫌になるぜ,残業,宿題,パーティー,フィーバー
コレか？「栄養ドリンク」さ。コレがないとつらくてな,のど飴,おつまみ,カメラ,栄養ドリンク
分かってるけどさ、寝ようにも「書類」が多くて……,書類,ゲーム,社長,パソコン
したさ、そしたらサボった罰だって仕事の「山」が出来てた,空,山,調査,ゲーム
早退すると仕事が増えるとか、あれじゃ「脅迫」だよ,お祝い,号泣,休憩,脅迫
たまには「気分転換」したいよな,残業,ジャンプ,暇,気分転換
まあな。ちょっと「嫌な事」があったんだ,大当たり,嫌な事,レコード,穴掘り
ああ、愚痴らせてくれ。来週の日曜も「出勤」しろだとさ,出勤,盆踊り,夜行列車,サービス
それならこんな愚痴らねーって。「上司」の気まぐれさ,お母さん,上司,推し,下僕
それも思ったんだけどな。どうも「取引先」の接待らしい,取引先,天使,色紙,冷凍食品
ああ。まったく、俺たちはお上の「私物」じゃねーっての,家族,課長,相棒,私物
よう。「調子」はどうだ？,テンション,調子,挨拶,天気
聞いといてなんだが最悪だ。さっきの「会議」のせいでな,大会,会議,カラオケ,運動会
通した企画、上の「手柄」にされちまった,手柄,責任,必殺技,口癖
残念ながらあるんだよ。「プレゼン」したのも俺なのに,きのこ,プレゼン,たけのこ,木の枝
終わった瞬間に『「指示」通りやってくれてありがとう』だと,計画,コンボ,コマンド,指示
ああ。俺は『「適当」にやってくれ』としか聞いてないのに,イラスト,犬の餌,適当,あげぽよ
